ID,Seizoen,Shirt,Speler,Nummer,Maat,Geschatte_Waarde,Matchworn,Foto1,Foto2,Foto3,Handtekeningen
73,2021-2022,Away,,,XXL,100,,Shirt54.1.jpg,Shirt54.2.jpg,,"Signed by Nusa, Bursik, Jutgla, Thiago, Mechele, Spileers, De Cuyper, Barbera, Meijer, Jackers, Homma, Vetlesen, Shinton, Mignolet, Talbi, Onyedika, Balanta, Ordonez"
74,2021-2022,Home,Buchanan,17,XL,50,,Shirt56.1.jpg,Shirt56.2.jpg,,
75,2021-2022,Home,Hendry,5,XXL,40,,Shirt57.1.jpg,Shirt57.2.jpg,,
76,2021-2022,Home,,,M,150,,Shirt58.1.jpg,Shirt58.2.jpg,,"Signed by De Ketelaere, Rits, Hoefkens, Jutgla, Skov Olsen, Sowah, Audoor, Meijer, Vanaken, Vormer, Sylla, Nusa, Mbamba, Shinton, Okereke, Nsoki, Balanta, Lammens, Izquierdo, Mata, Buchanan, Mechele, Lang, Sobol, Dost, Schreuder, Mignolet, Ricca, Sandra"
77,2022-2023,GK 2,,,M,30,,Shirt59.1.jpg,Shirt59.2.jpg,,
78,2022-2023,GK 1,,,XXL,60,,Shirt60.1.jpg,Shirt60.2.jpg,,Signed by Mignolet
79,2022-2023,Third,Nielsen,27,L,60,,,,,
80,2022-2023,Third,Jutgla,9,XL,60,,Shirt61.1.jpg,Shirt61.2.jpg,,
81,2022-2023,Away,Ordonez,4,L,45,,,,,
82,2022-2023,Away,Sylla,94,L,45,,,,,
83,2022-2023,Home,Spileers,27,L,45,,,,,
84,2022-2023,Home,Rits,26,XL,90,,Shirt64.1.jpg,Shirt64.2.jpg,Shirt64.3.jpg,hele ploeg
85,2023-2024,Fourth,,,L,80,,,,,
86,2023-2024,Third,,,XL,110,,Shirt65.1.jpg,Shirt65.2.jpg,,"Signed by Vetlesen, Skoras, Hayen, Seys, Mignolet, De Corte, Onyedika, Nielsen, De Cuyper, Meijer, Et Taïbi, Nilsson, Nusa, Talbi, Spileers, Jackers, Vermant, Boyata, Mechele, Tzolis, Zinckernagel"
87,2023-2024,Away,Mechele,44,XL,60,,Shirt67.1.jpg,Shirt67.2.jpg,,
88,2023-2024,Home,Vanaken,20,XXL,60,,Shirt68.1.jpg,Shirt68.2.jpg,,
89,2023-2024,Home,Vetlesen,10,XXL,60,,Shirt69.1.jpg,Shirt69.2.jpg,,
90,2023-2024,Home,Zinckernagel,77,M,130,Matchworn,,,,Signed by Zinckernagel
91,2024-2025,Home,Talbi,68,M,180,Matchworn,,,,Signed by Talbi
92,2024-2025,Home,,,M,120,,,,,Squad signed
